timestamp_s,Aceleracion_Z, Comentario
188,11.99735,
189,8.015787,
190,8.755595,
191,9.691729,
192,9.591172,
193,9.718064,
194,9.749189,
195,9.710882,
196,9.449914,
197,9.466674,
198,9.28232,
199,9.330204,
100,12.02847,
101,12.54801,
102,13.24472,
103,12.46182,
104,11.78187,
105,11.11628,
106,11.01572,
107,11.08515,
108,10.95108,
109,10.74997,
110,10.9008,
111,10.78827,
112,10.10114,
113,-0.9552865,
114,9.409213,
115,11.29824,
116,9.40203,
117,10.01255,
118,7.797915,
119,7.824251,
120,10.96784,
121,8.327033,
122,11.1474,
123,9.193734,
124,9.598354,
125,9.516952,
126,9.576807,
127,9.701305,
128,9.526528,
129,9.437943,
130,9.330204,
131,9.258378,
132,9.234436,
133,9.323022,
134,9.277532,
135,9.32781,
136,9.097966,
137,8.913613,
138,9.397242,
139,14.28141,
140,9.533711,
141,-5.267244,
142,15.43542,
143,9.725247,
144,9.26556,
145,9.02614,
146,17.88229,
147,10.53209,
148,11.69567,
149,12.54083,
150,13.14896,
151,9.593566,
152,12.38999,
153,10.96544,
154,11.20486,
155,10.68772,
156,10.71166,
157,10.97741,
158,10.82419,
159,10.73799,
160,9.43076,
161,9.52174,
162,10.66138,
163,10.00776,
164,9.011775,
165,9.880871,
166,9.217676,
167,8.391677,
168,11.34852,
169,14.05396,
170,8.870518,
171,9.935937,
172,9.361329,
173,9.619903,
174,9.313444,
175,9.947908,
176,9.277532,
177,9.449914,
178,9.172187,
179,9.143456,
180,9.308656,
181,9.385271,
182,9.473856,
183,9.083601,
184,9.425972,
185,9.409213,
186,9.318233,
187,7.132327,
188,18.24142,
189,-8.147469,
190,10.49139,
191,8.899248,
192,9.167398,
193,10.63983,
194,8.927979,
195,11.3964,
196,12.01889,
197,12.9239,
198,11.98298,
199,12.74433,
100,9.507375,
101,10.37647,
102,8.980651,
103,9.722853,
104,9.466674,
105,9.466674,
106,9.397242,
107,9.392453,
108,9.289502,
109,9.344569,
110,9.433155,
111,9.387665,
112,9.272743,
113,9.454702,
114,9.0429,
115,9.461885,
116,9.28232,
117,8.927979,
118,17.86314,
119,-7.448361,
120,9.854534,
121,9.488221,
